date,juice,anxiety,event
2025-04-19,5.1,3.1,
2025-04-20,6.7,3.4,
2025-04-21,5.2,3.8,
2025-04-22,6.5,3.6,
2025-04-23,5.3,4.2,
2025-04-24,5.5,3.4,
2025-04-25,6.6,4.9,
2025-04-26,6.0,4.6,
2025-04-27,6.7,4.1,
2025-04-28,7.6,4.2,
2025-04-29,7.5,5.0,
2025-04-30,7.7,5.1,
2025-05-01,7.3,5.5,
2025-05-02,6.9,4.3,
2025-05-03,6.0,4.0,Potatoversary
2025-05-04,6.7,3.1,
2025-05-05,5.9,4.3,
2025-05-06,6.7,4.1,
2025-05-07,6.6,4.8,
2025-05-08,5.0,4.4,
2025-05-09,4.6,6.5,
2025-05-10,3.9,6.7,
2025-05-11,2.0,8.0,Medi-cal Fiasco
2025-05-12,3.5,8.9,
2025-05-13,4.1,7.5,
2025-05-14,4.0,8.0,
2025-05-15,5.8,6.0,
2025-05-16,5.3,5.4,
2025-05-17,5.9,4.8,
2025-05-18,5.1,4.8,
2025-05-19,5.0,4.0,
2025-05-20,5.0,4.0,
